TIME(s)	'A,R'	'A,PrA'	'A,PrR'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0	0	0
0.01	0	0	0	0	0	0	0	0	0	0	0
0.02	0	0	0	0	0	0	0	0	0	0	0
0.03	0	0	0	0	0	0	0	0	0	0	0
0.04	0	0	0	0	0	0	0	0	0	0	0
0.05	0	0	0	0	0	0	0	0	0	0	0
0.06	0	0	0	0	0	0	0	0	0	0	0
0.07	0	0	0	0	0	0	0	0	0	0	0
0.08	0	0	0	0	0	0	0	0	0	0	0
0.09	0	0	0	0	0	0	0	0	0	0	0
0.1	0	0	0	0	0	0	0	0	0	0	0
0.11	0	0	0	0	0	0	0	0	0	0	0
0.12	0	0	0	0	0	0	0	0	0	0	0
0.13	0	0	0	0	0	0	0	0	0	0	0
0.14	0	0	0	0	0	0	0	0	0	0	2
0.15	0	0	0	0	0	0	0	0	0	0	2
0.16	0	0	0	0	0	0	0	0	0	0	2
0.17	0	0	0	0	0	0	0	0	0	0	2
0.18	0	1	0	0	0	0	0	0	0	0	3
0.19	0	1	0	0	0	0	0	0	0	0	5
0.2	0	1	0	0	0	0	0	0	0	0	6
0.21	0	1	0	0	0	0	0	0	0	0	9
0.22	0	1	0	0	0	0	0	0	0	0	10
0.23	0	1	0	0	0	0	0	0	0	0	12
0.24	0	1	0	0	0	0	0	0	0	0	13
0.25	0	0	0	0	0	0	0	0	0	0	14
0.26	0	0	0	0	0	0	0	0	0	0	14
0.27	0	1	0	0	0	0	0	0	0	0	18
0.28	0	1	1	0	0	0	0	0	0	0	21
0.29	0	0	0	0	0	0	0	0	0	0	23
0.3	0	0	0	0	0	0	0	0	0	0	23
0.31	0	0	1	0	0	0	0	0	0	0	25
0.32	0	0	0	0	0	0	0	0	0	0	25
0.33	0	0	0	0	0	0	0	0	0	0	25
0.34	0	0	1	0	0	0	0	0	0	0	35
0.35	0	0	0	0	0	0	0	0	0	0	35
0.36	0	0	0	0	0	0	0	0	0	0	35
0.37	0	0	0	0	0	0	0	0	0	0	35
0.38	0	0	0	0	0	0	0	0	0	0	35
0.39	0	0	0	0	0	0	0	0	0	0	35
0.4	0	0	0	0	0	0	0	0	0	0	35
0.41	0	0	0	0	0	0	0	0	0	0	35
0.42	0	0	0	0	0	0	0	0	0	0	35
0.43	1	0	0	0	0	0	0	0	0	0	36
0.44	1	1	1	0	0	0	0	0	0	0	39
0.45	1	1	0	0	0	0	0	0	0	0	44
0.46	1	1	1	0	0	0	0	0	0	0	50
0.47	1	1	0	0	0	0	0	0	0	0	56
0.48	1	1	0	0	0	0	0	0	0	0	59
0.49	1	0	0	0	0	0	0	0	0	0	59
0.5	2	1	0	0	0	0	0	0	0	0	63
0.51	2	0	1	0	0	0	0	0	0	0	68
0.52	1	0	1	0	0	0	0	0	0	0	73
0.53	2	1	0	0	0	0	0	0	0	0	81
0.54	2	0	0	0	0	0	0	0	0	0	81
0.55	2	0	0	0	0	0	0	0	0	0	81
0.56	2	0	0	0	0	0	0	0	0	0	84
0.57	3	0	0	0	0	0	0	0	0	0	85
0.58	3	0	0	0	0	0	0	0	0	0	85
0.59	3	1	0	0	0	0	0	0	0	0	86
0.6	3	1	1	0	0	0	0	0	0	0	88
0.61	4	1	0	0	0	0	0	0	0	0	91
0.62	4	1	0	0	0	0	0	0	0	0	95
0.63	5	1	0	0	0	0	0	0	0	0	97
0.64	5	1	0	0	0	0	0	0	0	0	102
0.65	5	1	1	0	0	0	0	0	0	0	105
0.66	5	1	1	0	0	0	0	0	0	0	114
0.67	5	1	1	0	0	0	0	0	0	0	119
0.68	6	1	0	0	0	0	0	0	0	0	127
0.69	6	1	0	0	0	0	0	0	0	0	136
0.7	6	1	0	0	0	0	0	0	0	0	139
0.71	6	0	1	0	0	0	0	0	0	0	140
0.72	6	0	0	0	0	0	0	0	0	0	142
0.73	8	1	1	0	0	0	0	0	0	0	147
0.74	8	1	0	0	0	0	0	0	0	0	157
0.75	8	1	0	0	0	0	0	0	0	0	159
0.76	8	1	0	0	0	0	0	0	0	0	162
0.77	8	1	0	0	0	0	0	0	0	0	169
0.78	8	1	1	0	0	0	0	0	0	0	173
0.79	8	1	0	0	0	0	0	0	0	0	174
0.8	9	1	0	0	0	0	0	0	0	0	177
0.81	9	1	1	0	0	0	0	0	0	0	179
0.82	9	1	1	0	0	0	0	0	0	0	183
0.83	9	1	0	0	0	0	0	0	0	0	188
0.84	9	1	0	0	0	0	0	0	0	0	194
0.85	9	1	0	0	0	0	0	0	0	0	200
0.86	9	0	1	0	0	0	0	0	0	0	204
0.87	10	0	0	0	0	0	0	0	0	0	206
0.88	11	1	1	0	0	0	0	0	0	0	219
0.89	11	0	1	0	0	0	0	0	0	0	222
0.9	11	1	1	0	0	0	0	0	0	0	229
0.91	11	1	0	0	0	0	0	0	0	0	232
0.92	11	1	0	0	0	0	0	0	0	0	236
0.93	11	1	1	0	0	0	0	0	0	0	243
0.94	11	0	1	0	0	0	0	0	0	0	250
0.95	11	1	1	0	0	0	0	0	0	0	256
0.96	10	1	0	0	0	0	0	0	0	0	258
0.97	12	0	1	0	0	0	0	0	0	0	263
0.98	12	1	0	0	0	0	0	0	0	0	268
0.99	12	1	1	0	0	0	0	0	0	0	272
1	13	0	1	0	0	0	0	0	0	0	279
1.01	14	0	1	0	0	0	0	0	0	0	284
1.02	15	0	1	0	0	0	0	0	0	0	291
1.03	16	1	1	0	0	0	0	0	0	0	295
1.04	16	0	1	0	0	0	0	0	0	0	299
1.05	17	1	0	0	0	0	0	0	0	0	302
1.06	18	1	1	0	0	0	0	0	0	0	309
