Time (s),A(a),R(r),PrA(a),PrR(r),RNR(r),RNA(a),A(a!1).R(r!1),PrA(a!1).A(a!1),PrR(r!1).A(a!1)
0,0,0,1,1,0,0,0,0,0
0.01,0,0,1,1,0,1,0,0,0
0.02,1,0,1,1,0,1,0,0,0
0.03,4,0,1,1,0,1,0,0,0
0.04,4,0,1,1,0,2,0,0,0
0.05,5,0,1,1,0,2,0,0,0
0.06,6,0,1,1,0,3,0,0,0
0.07,6,0,1,1,0,3,0,0,0
0.08,8,0,1,1,0,3,0,0,0
0.09,8,0,1,1,0,2,0,0,0
0.1,10,0,1,1,0,4,0,0,0
0.11,13,0,1,1,0,5,0,0,0
0.12,17,0,1,1,0,5,0,0,0
0.13,16,0,1,1,0,5,0,0,0
0.14,20,0,1,1,0,6,0,0,0
0.15,21,0,1,1,0,7,0,0,0
0.16,27,0,1,1,0,6,0,0,0
0.17,31,0,1,1,0,4,0,0,0
0.18,32,0,0,1,0,4,0,1,0
0.19,35,0,0,1,0,8,0,1,0
0.2,39,0,0,1,0,12,0,1,0
0.21,52,0,0,1,0,14,0,1,0
0.22,61,0,0,1,0,22,0,1,0
0.23,74,0,0,1,0,19,0,1,0
0.24,88,0,0,1,0,21,0,1,0
0.25,108,0,1,1,0,24,0,0,0
0.26,113,0,1,1,0,20,0,0,0
0.27,121,0,0,1,0,19,0,1,0
0.28,132,0,0,0,0,22,0,1,1
0.29,145,0,1,1,0,25,0,0,0
0.3,154,0,1,1,0,22,0,0,0
0.31,162,0,1,0,0,17,0,0,1
0.32,170,0,1,1,0,15,0,0,0
0.33,173,0,1,1,0,15,0,0,0
0.34,180,0,1,0,1,17,0,0,1
0.35,195,0,1,1,1,16,0,0,0
0.36,205,0,1,1,1,18,0,0,0
0.37,207,0,1,1,1,17,0,0,0
0.38,213,0,1,1,1,15,0,0,0
0.39,220,0,1,1,1,15,0,0,0
0.4,226,0,1,1,1,14,0,0,0
0.41,226,0,1,1,1,13,0,0,0
0.42,235,0,1,1,1,14,0,0,0
0.43,240,0,1,1,1,14,1,0,0
0.44,243,0,0,0,1,15,1,1,1
0.45,253,0,0,1,2,19,1,1,0
0.46,258,0,0,0,2,22,1,1,1
0.47,270,0,0,1,2,26,1,1,0
0.48,287,0,0,1,2,25,1,1,0
0.49,299,1,1,1,2,24,1,0,0
0.5,302,0,0,1,2,23,2,1,0
0.51,309,0,1,0,3,25,2,0,1
0.52,312,1,1,0,3,18,1,0,1
0.53,319,0,0,1,4,20,2,1,0
0.54,324,0,1,1,4,18,2,0,0
0.55,330,0,1,1,4,17,2,0,0
0.56,331,0,1,1,4,18,2,0,0
0.57,336,0,1,1,4,17,3,0,0
0.58,335,0,1,1,4,17,3,0,0
0.59,337,0,0,1,4,18,3,1,0
0.6,346,1,0,0,4,20,3,1,1
0.61,354,0,0,1,5,22,4,1,0
0.62,365,1,0,1,5,27,4,1,0
0.63,375,0,0,1,5,27,5,1,0
0.64,390,0,0,1,5,29,5,1,0
0.65,405,0,0,0,5,25,5,1,1
0.66,408,0,0,0,5,26,5,1,1
0.67,413,1,0,0,5,29,5,1,1
0.68,427,0,0,1,6,35,6,1,0
0.69,442,0,0,1,6,37,6,1,0
0.7,455,0,0,1,6,39,6,1,0
0.71,470,0,1,0,6,37,6,0,1
0.72,487,0,1,1,6,32,6,0,0
0.73,493,0,0,0,6,31,8,1,1
0.74,502,0,0,1,7,31,8,1,0
0.75,515,0,0,1,7,30,8,1,0
0.76,520,0,0,1,9,36,8,1,0
0.77,533,0,0,1,9,37,8,1,0
0.78,550,0,0,0,9,36,8,1,1
0.79,562,0,0,1,9,35,8,1,0
0.8,566,0,0,1,9,36,9,1,0
0.81,573,0,0,0,8,36,9,1,1
0.82,578,0,0,0,8,35,9,1,1
0.83,598,0,0,1,9,40,9,1,0
0.84,608,0,0,1,9,40,9,1,0
0.85,623,0,0,1,9,39,9,1,0
0.86,642,0,1,0,9,38,9,0,1
0.87,662,1,1,1,9,35,10,0,0
0.88,670,0,0,0,9,36,11,1,1
0.89,683,0,1,0,9,35,11,0,1
0.9,691,0,0,0,9,34,11,1,1
0.91,698,0,0,1,9,33,11,1,0
0.92,718,0,0,1,9,36,11,1,0
0.93,733,0,0,0,10,34,11,1,1
0.94,734,0,1,0,10,30,11,0,1
0.95,745,0,0,0,11,34,11,1,1
0.96,760,1,0,1,11,37,10,1,0
0.97,766,0,1,0,11,40,12,0,1
0.98,777,0,0,1,11,38,12,1,0
0.99,781,1,0,0,12,38,12,1,1
1,789,0,1,0,12,37,13,0,1
1.01,799,0,1,0,13,40,14,0,1
1.02,815,0,1,0,13,39,15,0,1
1.03,818,0,0,0,13,38,16,1,1
1.04,824,0,1,0,13,39,16,0,1
1.05,833,1,0,1,14,37,17,1,0
1.06,836,1,0,0,14,37,18,1,1
1.07,852,1,1,0,15,40,19,0,1
1.08,858,0,0,1,15,38,21,1,0
1.09,865,0,0,1,15,40,22,1,0
1.1,877,0,0,0,16,44,23,1,1
1.11,890,0,0,0,16,45,25,1,1
1.12,900,0,0,0,17,42,25,1,1
1.13,916,1,0,1,19,42,27,1,0
1.14,923,0,0,1,19,45,30,1,0
1.15,935,1,0,1,20,39,30,1,0
1.16,950,0,0,0,20,42,31,1,1
1.17,965,1,0,1,20,41,32,1,0
1.18,974,1,0,1,20,40,33,1,0
1.19,985,0,0,1,20,45,34,1,0
1.2,1005,0,0,0,20,45,34,1,1
1.21,1027,0,1,1,20,49,34,0,0
1.22,1029,0,1,0,20,42,34,0,1
1.23,1048,0,1,0,20,41,34,0,1
1.24,1052,0,0,0,20,36,34,1,1
1.25,1055,0,0,1,20,36,35,1,0
1.26,1067,0,1,0,19,34,35,0,1
1.27,1077,0,0,0,19,30,36,1,1
1.28,1081,0,0,0,20,31,36,1,1
1.29,1082,0,0,1,20,35,37,1,0
1.3,1081,0,0,0,20,36,39,1,1
1.31,1083,1,0,0,20,34,43,1,1
1.32,1091,1,1,0,22,39,44,0,1
1.33,1103,1,0,1,22,34,45,1,0
1.34,1107,0,0,1,22,31,46,1,0
1.35,1104,0,0,0,22,31,48,1,1
1.36,1114,0,0,1,22,37,50,1,0
1.37,1121,0,0,0,22,37,54,1,1
1.38,1130,0,1,0,22,42,54,0,1
1.39,1134,0,0,0,21,40,54,1,1
1.4,1149,0,0,0,20,43,54,1,1
1.41,1164,1,0,0,20,43,55,1,1
1.42,1174,1,1,1,20,45,55,0,0
1.43,1181,0,0,0,20,48,58,1,1
1.44,1192,1,0,0,22,46,59,1,1
1.45,1205,0,1,1,22,46,60,0,0
1.46,1225,0,0,0,23,46,60,1,1
1.47,1233,0,1,0,22,43,61,0,1
1.48,1241,1,0,0,23,41,61,1,1
1.49,1241,1,0,1,23,47,62,1,0
1.5,1251,0,1,0,23,43,63,0,1
1.51,1249,0,0,0,23,37,63,1,1
1.52,1261,0,1,0,23,41,63,0,1
1.53,1271,0,0,0,23,43,63,1,1
1.54,1277,0,0,0,23,45,64,1,1
1.55,1281,0,0,0,23,48,65,1,1
1.56,1296,2,0,0,24,47,65,1,1
1.57,1297,1,0,1,24,42,72,1,0
1.58,1298,3,0,1,25,43,74,1,0
1.59,1305,0,0,0,25,42,77,1,1
1.6,1311,0,1,0,25,40,77,0,1
1.61,1312,2,0,0,26,37,77,1,1
1.62,1307,0,0,0,26,38,79,1,1
