TIME (s) 	MONO:A	DIMERS W:A	MONO:R	DIMERS W:R	MONO:PrA	DIMERS W:PrA	MONO:PrR	DIMERS W:PrR	MONO:RNR	DIMERS W:RNR	MONO:RNA	DIMERS W:RNA	
0	0	0	0	0	1	0	1	0	0	0	0	0	
0.01	0	0	0	0	1	0	1	0	0	0	1	0	
0.02	1	0	0	0	1	0	1	0	0	0	1	0	
0.03	4	0	0	0	1	0	1	0	0	0	1	0	
0.04	4	0	0	0	1	0	1	0	0	0	2	0	
0.05	5	0	0	0	1	0	1	0	0	0	2	0	
0.06	6	0	0	0	1	0	1	0	0	0	3	0	
0.07	6	0	0	0	1	0	1	0	0	0	3	0	
0.08	8	0	0	0	1	0	1	0	0	0	3	0	
0.09	8	0	0	0	1	0	1	0	0	0	2	0	
0.1	10	0	0	0	1	0	1	0	0	0	4	0	
0.11	13	0	0	0	1	0	1	0	0	0	5	0	
0.12	17	0	0	0	1	0	1	0	0	0	5	0	
0.13	16	0	0	0	1	0	1	0	0	0	5	0	
0.14	20	0	0	0	1	0	1	0	0	0	6	0	
0.15	21	0	0	0	1	0	1	0	0	0	7	0	
0.16	27	0	0	0	1	0	1	0	0	0	6	0	
0.17	31	0	0	0	1	0	1	0	0	0	4	0	
0.18	32	1	0	0	0	1	1	0	0	0	4	0	
0.19	35	1	0	0	0	1	1	0	0	0	8	0	
0.2	39	1	0	0	0	1	1	0	0	0	12	0	
0.21	52	1	0	0	0	1	1	0	0	0	14	0	
0.22	61	1	0	0	0	1	1	0	0	0	22	0	
0.23	74	1	0	0	0	1	1	0	0	0	19	0	
0.24	88	1	0	0	0	1	1	0	0	0	21	0	
0.25	108	0	0	0	1	0	1	0	0	0	24	0	
0.26	113	0	0	0	1	0	1	0	0	0	20	0	
0.27	121	1	0	0	0	1	1	0	0	0	19	0	
0.28	132	2	0	0	0	1	0	1	0	0	22	0	
0.29	145	0	0	0	1	0	1	0	0	0	25	0	
0.3	154	0	0	0	1	0	1	0	0	0	22	0	
0.31	162	1	0	0	1	0	0	1	0	0	17	0	
0.32	170	0	0	0	1	0	1	0	0	0	15	0	
0.33	173	0	0	0	1	0	1	0	0	0	15	0	
0.34	180	1	0	0	1	0	0	1	1	0	17	0	
0.35	195	0	0	0	1	0	1	0	1	0	16	0	
0.36	205	0	0	0	1	0	1	0	1	0	18	0	
0.37	207	0	0	0	1	0	1	0	1	0	17	0	
0.38	213	0	0	0	1	0	1	0	1	0	15	0	
0.39	220	0	0	0	1	0	1	0	1	0	15	0	
0.4	226	0	0	0	1	0	1	0	1	0	14	0	
0.41	226	0	0	0	1	0	1	0	1	0	13	0	
0.42	235	0	0	0	1	0	1	0	1	0	14	0	
0.43	240	1	0	1	1	0	1	0	1	0	14	0	
0.44	243	3	0	1	0	1	0	1	1	0	15	0	
0.45	253	2	0	1	0	1	1	0	2	0	19	0	
0.46	258	3	0	1	0	1	0	1	2	0	22	0	
0.47	270	2	0	1	0	1	1	0	2	0	26	0	
0.48	287	2	0	1	0	1	1	0	2	0	25	0	
0.49	299	1	1	1	1	0	1	0	2	0	24	0	
0.5	302	3	0	2	0	1	1	0	2	0	23	0	
0.51	309	3	0	2	1	0	0	1	3	0	25	0	
0.52	312	2	1	1	1	0	0	1	3	0	18	0	
0.53	319	3	0	2	0	1	1	0	4	0	20	0	
0.54	324	2	0	2	1	0	1	0	4	0	18	0	
0.55	330	2	0	2	1	0	1	0	4	0	17	0	
0.56	331	2	0	2	1	0	1	0	4	0	18	0	
0.57	336	3	0	3	1	0	1	0	4	0	17	0	
0.58	335	3	0	3	1	0	1	0	4	0	17	0	
0.59	337	4	0	3	0	1	1	0	4	0	18	0	
0.6	346	5	1	3	0	1	0	1	4	0	20	0	
0.61	354	5	0	4	0	1	1	0	5	0	22	0	
0.62	365	5	1	4	0	1	1	0	5	0	27	0	
0.63	375	6	0	5	0	1	1	0	5	0	27	0	
0.64	390	6	0	5	0	1	1	0	5	0	29	0	
0.65	405	7	0	5	0	1	0	1	5	0	25	0	
0.66	408	7	0	5	0	1	0	1	5	0	26	0	
0.67	413	7	1	5	0	1	0	1	5	0	29	0	
0.68	427	7	0	6	0	1	1	0	6	0	35	0	
0.69	442	7	0	6	0	1	1	0	6	0	37	0	
0.7	455	7	0	6	0	1	1	0	6	0	39	0	
0.71	470	7	0	6	1	0	0	1	6	0	37	0	
0.72	487	6	0	6	1	0	1	0	6	0	32	0	
0.73	493	10	0	8	0	1	0	1	6	0	31	0	
0.74	502	9	0	8	0	1	1	0	7	0	31	0	
0.75	515	9	0	8	0	1	1	0	7	0	30	0	
0.76	520	9	0	8	0	1	1	0	9	0	36	0	
0.77	533	9	0	8	0	1	1	0	9	0	37	0	
0.78	550	10	0	8	0	1	0	1	9	0	36	0	
0.79	562	9	0	8	0	1	1	0	9	0	35	0	
0.8	566	10	0	9	0	1	1	0	9	0	36	0	
0.81	573	11	0	9	0	1	0	1	8	0	36	0	
0.82	578	11	0	9	0	1	0	1	8	0	35	0	
0.83	598	10	0	9	0	1	1	0	9	0	40	0	
0.84	608	10	0	9	0	1	1	0	9	0	40	0	
0.85	623	10	0	9	0	1	1	0	9	0	39	0	
0.86	642	10	0	9	1	0	0	1	9	0	38	0	
0.87	662	10	1	10	1	0	1	0	9	0	35	0	
0.88	670	13	0	11	0	1	0	1	9	0	36	0	
0.89	683	12	0	11	1	0	0	1	9	0	35	0	
0.9	691	13	0	11	0	1	0	1	9	0	34	0	
0.91	698	12	0	11	0	1	1	0	9	0	33	0	
0.92	718	12	0	11	0	1	1	0	9	0	36	0	
0.93	733	13	0	11	0	1	0	1	10	0	34	0	
0.94	734	12	0	11	1	0	0	1	10	0	30	0	
0.95	745	13	0	11	0	1	0	1	11	0	34	0	
0.96	760	11	1	10	0	1	1	0	11	0	37	0	
0.97	766	13	0	12	1	0	0	1	11	0	40	0	
0.98	777	13	0	12	0	1	1	0	11	0	38	0	
0.99	781	14	1	12	0	1	0	1	12	0	38	0	
1	789	14	0	13	1	0	0	1	12	0	37	0	
1.01	799	15	0	14	1	0	0	1	13	0	40	0	
1.02	815	16	0	15	1	0	0	1	13	0	39	0	
1.03	818	18	0	16	0	1	0	1	13	0	38	0	
1.04	824	17	0	16	1	0	0	1	13	0	39	0	
1.05	833	18	1	17	0	1	1	0	14	0	37	0	
1.06	836	20	1	18	0	1	0	1	14	0	37	0	
1.07	852	20	1	19	1	0	0	1	15	0	40	0	
1.08	858	22	0	21	0	1	1	0	15	0	38	0	
1.09	865	23	0	22	0	1	1	0	15	0	40	0	
1.1	877	25	0	23	0	1	0	1	16	0	44	0	
1.11	890	27	0	25	0	1	0	1	16	0	45	0	
1.12	900	27	0	25	0	1	0	1	17	0	42	0	
1.13	916	28	1	27	0	1	1	0	19	0	42	0	
1.14	923	31	0	30	0	1	1	0	19	0	45	0	
1.15	935	31	1	30	0	1	1	0	20	0	39	0	
1.16	950	33	0	31	0	1	0	1	20	0	42	0	
1.17	965	33	1	32	0	1	1	0	20	0	41	0	
1.18	974	34	1	33	0	1	1	0	20	0	40	0	
