TIME(s)	'A,B'	'A,C'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0	0
0.0015	0	4	0	0	3	0	0	0	0	977
0.003	4	7	0	0	7	0	0	0	0	1972
0.0045	3	4	0	0	10	0	0	0	0	2972
0.006	4	1	0	0	13	0	0	0	0	3935
0.0075	4	5	0	0	19	0	0	0	0	4917
0.009	3	3	0	0	27	0	0	0	0	5917
0.0105	4	3	0	0	30	0	0	0	0	6878
0.012	3	5	0	0	35	0	0	0	0	7819
0.0135	3	6	0	0	36	0	0	0	0	8764
0.015	2	7	0	0	40	0	0	0	0	9741
0.0165	3	3	0	0	43	0	0	0	0	10710
0.018	2	7	0	0	45	0	0	0	0	11680
0.0195	4	2	0	0	47	0	0	0	0	12687
0.021	4	5	0	0	50	0	0	0	0	13718
0.0225	2	3	0	0	51	0	0	0	0	14688
0.024	2	3	0	0	52	0	0	0	0	15618
0.0255	4	3	0	0	53	0	0	0	0	16647
0.027	4	4	0	0	56	0	0	0	0	17610
0.0285	2	6	0	0	60	0	0	0	0	18573
0.03	5	1	0	0	64	0	0	0	0	19572
0.0315	5	4	0	0	69	0	0	0	0	20543
0.033	0	3	0	0	74	0	0	0	0	21501
0.0345	6	8	0	0	81	0	0	0	0	22488
0.036	2	4	0	0	83	0	0	0	0	23477
0.0375	4	4	0	0	84	0	0	0	0	24469
0.039	2	6	0	0	88	0	0	0	0	25407
0.0405	3	3	0	0	98	0	0	0	0	26409
0.042	3	2	0	0	102	0	0	0	0	27393
0.0435	4	4	0	0	106	0	0	0	0	28428
0.045	1	3	0	0	109	0	0	0	0	29415
0.0465	10	1	0	0	112	0	0	0	0	30377
0.048	3	1	0	0	113	0	0	0	0	31327
0.0495	2	3	0	0	118	0	0	0	0	32328
0.051	1	4	0	0	124	0	0	0	0	33274
0.0525	6	4	0	0	127	0	0	0	0	34251
0.054	5	4	0	0	130	0	0	0	0	35244
0.0555	4	2	0	0	133	0	0	0	0	36204
0.057	4	4	0	0	136	0	0	0	0	37178
0.0585	4	5	0	0	137	0	0	0	0	38196
0.06	4	5	0	0	141	0	0	0	0	39163
0.0615	9	4	0	0	141	0	0	0	0	40141
0.063	3	3	0	0	143	0	0	0	0	41124
0.0645	3	2	0	0	149	0	0	0	0	42062
0.066	2	3	0	0	155	0	0	0	0	43002
