Time (s),A(a1),A(a2),B(b1),B(b2),C(c1),C(c2),A(a1!1).B(b2!1),A(a2!1).C(c1!1)
0,333,333,333,333,333,333,0,0
0.0015,333,329,333,333,329,333,0,4
0.003,329,326,333,329,326,333,4,7
0.0045,330,329,333,330,329,333,3,4
0.006,329,332,333,329,332,333,4,1
0.0075,329,328,333,329,328,333,4,5
0.009,330,330,333,330,330,333,3,3
0.0105,329,330,333,329,330,333,4,3
0.012,330,328,333,330,328,333,3,5
0.0135,330,327,333,330,327,333,3,6
0.015,331,326,333,331,326,333,2,7
0.0165,330,330,333,330,330,333,3,3
0.018,331,326,333,331,326,333,2,7
0.0195,329,331,333,329,331,333,4,2
0.021,329,328,333,329,328,333,4,5
0.0225,331,330,333,331,330,333,2,3
0.024,331,330,333,331,330,333,2,3
0.0255,329,330,333,329,330,333,4,3
0.027,329,329,333,329,329,333,4,4
0.0285,331,327,333,331,327,333,2,6
0.03,328,332,333,328,332,333,5,1
0.0315,328,329,333,328,329,333,5,4
0.033,333,330,333,333,330,333,0,3
0.0345,327,325,333,327,325,333,6,8
0.036,331,329,333,331,329,333,2,4
0.0375,329,329,333,329,329,333,4,4
0.039,331,327,333,331,327,333,2,6
0.0405,330,330,333,330,330,333,3,3
0.042,330,331,333,330,331,333,3,2
0.0435,329,329,333,329,329,333,4,4
0.045,332,330,333,332,330,333,1,3
0.0465,323,332,333,323,332,333,10,1
0.048,330,332,333,330,332,333,3,1
0.0495,331,330,333,331,330,333,2,3
0.051,332,329,333,332,329,333,1,4
0.0525,327,329,333,327,329,333,6,4
0.054,328,329,333,328,329,333,5,4
0.0555,329,331,333,329,331,333,4,2
0.057,329,329,333,329,329,333,4,4
0.0585,329,328,333,329,328,333,4,5
0.06,329,328,333,329,328,333,4,5
0.0615,324,329,333,324,329,333,9,4
0.063,330,330,333,330,330,333,3,3
0.0645,330,331,333,330,331,333,3,2
0.066,331,330,333,331,330,333,2,3
