TIME (s) 	MONO:A	DIMERS W:A	MONO:B	DIMERS W:B	MONO:C	DIMERS W:C	
0	333	0	333	0	333	0	
0.0015	329	4	333	0	329	4	
0.003	322	11	329	4	326	7	
0.0045	326	7	330	3	329	4	
0.006	328	5	329	4	332	1	
0.0075	324	9	329	4	328	5	
0.009	327	6	330	3	330	3	
0.0105	326	7	329	4	330	3	
0.012	325	8	330	3	328	5	
0.0135	324	9	330	3	327	6	
0.015	324	9	331	2	326	7	
0.0165	327	6	330	3	330	3	
0.018	324	9	331	2	326	7	
0.0195	327	6	329	4	331	2	
0.021	324	9	329	4	328	5	
0.0225	328	5	331	2	330	3	
0.024	328	5	331	2	330	3	
0.0255	326	7	329	4	330	3	
0.027	325	8	329	4	329	4	
0.0285	325	8	331	2	327	6	
0.03	327	6	328	5	332	1	
0.0315	324	9	328	5	329	4	
0.033	330	3	333	0	330	3	
0.0345	319	14	327	6	325	8	
0.036	327	6	331	2	329	4	
0.0375	325	8	329	4	329	4	
0.039	325	8	331	2	327	6	
0.0405	327	6	330	3	330	3	
0.042	328	5	330	3	331	2	
0.0435	325	8	329	4	329	4	
0.045	329	4	332	1	330	3	
0.0465	322	11	323	10	332	1	
0.048	329	4	330	3	332	1	
0.0495	328	5	331	2	330	3	
0.051	328	5	332	1	329	4	
0.0525	323	10	327	6	329	4	
0.054	324	9	328	5	329	4	
0.0555	327	6	329	4	331	2	
0.057	325	8	329	4	329	4	
0.0585	324	9	329	4	328	5	
0.06	324	9	329	4	328	5	
0.0615	320	13	324	9	329	4	
0.063	327	6	330	3	330	3	
0.0645	328	5	330	3	331	2	
0.066	328	5	331	2	330	3	
