TIME(s)	'A,A'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0
0.0015	69	16	0	1	0	0	0	0	427
0.003	126	34	1	3	0	0	0	0	803
0.0045	149	45	1	4	0	0	0	0	1157
0.006	164	49	2	4	0	0	0	0	1469
0.0075	174	52	2	4	0	0	0	0	1760
0.009	195	56	2	5	0	0	0	0	2088
0.0105	198	62	2	6	0	0	0	0	2349
0.012	196	62	3	6	0	0	0	0	2617
0.0135	216	64	3	6	0	0	0	0	2930
0.015	210	66	3	7	0	0	0	0	3211
0.0165	214	64	4	7	0	0	0	0	3472
0.018	197	62	4	8	0	0	0	0	3738
0.0195	206	64	4	8	0	0	0	0	4013
0.021	231	71	4	9	0	0	0	0	4285
0.0225	238	74	4	9	0	0	0	0	4560
0.024	237	72	4	12	0	0	0	0	4799
0.0255	221	68	4	13	0	0	0	0	5059
0.027	219	66	5	14	0	0	0	0	5320
0.0285	226	69	5	16	0	0	0	0	5590
0.03	217	66	5	17	0	0	0	0	5845
0.0315	196	61	5	19	0	0	0	0	6089
0.033	221	68	6	19	0	0	0	0	6370
0.0345	214	67	6	19	0	0	0	0	6634
0.036	213	67	6	20	0	0	0	0	6927
0.0375	215	67	7	20	0	0	0	0	7221
0.039	244	75	8	21	0	0	0	0	7519
0.0405	207	65	8	21	0	0	0	0	7770
0.042	207	64	8	21	0	0	0	0	8035
0.0435	214	67	8	24	0	0	0	0	8279
0.045	237	73	8	24	0	0	0	0	8570
0.0465	242	74	8	24	0	0	0	0	8832
0.048	227	71	8	25	0	0	0	0	9068
0.0495	218	68	8	26	0	0	0	0	9321
0.051	216	67	9	26	0	0	0	0	9585
0.0525	225	71	9	28	0	0	0	0	9854
0.054	231	69	10	29	0	0	0	0	10127
0.0555	229	71	10	31	0	0	0	0	10418
0.057	246	75	10	31	0	0	0	0	10711
0.0585	264	84	10	31	0	0	0	0	10966
0.06	271	85	11	31	0	0	0	0	11203
0.0615	264	80	12	31	0	0	0	0	11427
0.063	252	79	13	32	0	0	0	0	11644
0.0645	259	81	13	32	0	0	0	0	11894
0.066	264	83	13	34	0	0	0	0	12149
0.0675	238	76	13	34	0	0	0	0	12383
0.069	241	75	13	35	0	0	0	0	12623
0.0705	243	77	13	35	0	0	0	0	12872
0.072	251	76	14	35	0	0	0	0	13124
0.0735	244	72	16	35	0	0	0	0	13397
0.075	225	71	16	37	0	0	0	0	13636
0.0765	238	74	16	38	0	0	0	0	13889
0.078	238	75	16	39	0	0	0	0	14147
0.0795	262	81	16	41	0	0	0	0	14379
0.081	239	74	16	42	0	0	0	0	14615
0.0825	228	73	16	42	0	0	0	0	14857
0.084	222	71	17	42	0	0	0	0	15095
0.0855	225	68	17	45	0	0	0	0	15376
0.087	214	66	17	45	0	0	0	0	15655
0.0885	222	69	17	46	0	0	0	0	15937
0.09	237	71	18	47	0	0	0	0	16208
0.0915	218	67	18	47	0	0	0	0	16467
0.093	230	70	19	48	0	0	0	0	16742
0.0945	223	68	19	49	0	0	0	0	17027
0.096	211	65	19	51	0	0	0	0	17281
0.0975	219	68	19	51	0	0	0	0	17525
0.099	230	70	19	52	0	0	0	0	17801
0.1005	239	75	19	52	0	0	0	0	18060
0.102	257	81	19	54	0	0	0	0	18310
0.1035	258	82	19	57	0	0	0	0	18545
0.105	244	77	20	58	0	0	0	0	18786
0.1065	229	71	22	59	0	0	0	0	19043
0.108	230	71	22	60	0	0	0	0	19317
0.1095	237	74	22	61	0	0	0	0	19572
0.111	229	71	24	61	0	0	0	0	19809
0.1125	252	78	24	61	0	0	0	0	20083
0.114	247	76	24	62	0	0	0	0	20314
0.1155	224	70	24	62	0	0	0	0	20572
0.117	264	81	24	62	0	0	0	0	20838
0.1185	254	79	24	63	0	0	0	0	21081
0.12	235	74	25	64	0	0	0	0	21313
0.1215	226	71	25	65	0	0	0	0	21570
0.123	213	67	26	66	0	0	0	0	21819
0.1245	239	72	26	66	0	0	0	0	22111
0.126	230	73	26	66	0	0	0	0	22367
0.1275	245	76	26	67	0	0	0	0	22644
0.129	231	72	26	68	0	0	0	0	22881
0.1305	215	67	26	68	0	0	0	0	23140
0.132	241	73	26	68	0	0	0	0	23459
0.1335	233	71	26	69	0	0	0	0	23705
0.135	216	68	27	71	0	0	0	0	23975
0.1365	223	70	27	73	0	0	0	0	24227
0.138	231	70	28	74	0	0	0	0	24517
0.1395	253	79	28	76	0	0	0	0	24787
0.141	250	76	28	76	0	0	0	0	25051
0.1425	247	77	28	77	0	0	0	0	25283
0.144	238	73	29	77	0	0	0	0	25529
0.1455	237	71	29	77	0	0	0	0	25785
0.147	220	68	30	77	0	0	0	0	26025
0.1485	221	65	30	77	0	0	0	0	26289
0.15	216	66	31	78	0	0	0	0	26549
0.1515	204	61	31	79	0	0	0	0	26815
0.153	225	67	31	82	0	0	0	0	27094
0.1545	227	71	32	85	0	0	0	0	27361
0.156	229	71	34	87	0	0	0	0	27623
0.1575	225	70	34	88	0	0	0	0	27891
0.159	212	67	34	88	0	0	0	0	28198
0.1605	231	71	34	88	0	0	0	0	28462
0.162	217	67	34	88	0	0	0	0	28732
0.1635	204	63	35	90	0	0	0	0	28994
0.165	193	59	35	93	0	0	0	0	29271
0.1665	196	60	35	95	0	0	0	0	29555
0.168	214	66	35	95	0	0	0	0	29815
0.1695	215	65	35	96	0	0	0	0	30063
0.171	198	61	35	97	0	0	0	0	30323
0.1725	228	65	36	97	0	0	0	0	30619
0.174	225	70	36	99	0	0	0	0	30862
0.1755	232	72	36	100	0	0	0	0	31146
0.177	241	76	36	100	0	0	0	0	31409
0.1785	226	73	36	100	0	0	0	0	31666
0.18	227	70	36	100	0	0	0	0	31923
0.1815	239	74	36	100	0	0	0	0	32183
0.183	250	78	36	101	0	0	0	0	32429
0.1845	220	70	36	101	0	0	0	0	32672
0.186	215	66	36	102	0	0	0	0	32919
0.1875	203	62	36	104	0	0	0	0	33194
0.189	215	65	36	104	0	0	0	0	33476
0.1905	211	64	36	104	0	0	0	0	33750
0.192	233	72	38	106	0	0	0	0	34026
0.1935	220	66	38	107	0	0	0	0	34237
0.195	215	67	39	108	0	0	0	0	34528
0.1965	237	73	40	109	0	0	0	0	34803
0.198	252	78	41	109	0	0	0	0	35053
0.1995	264	83	41	109	0	0	0	0	35303
0.201	259	80	41	110	0	0	0	0	35556
0.2025	242	76	41	111	0	0	0	0	35781
0.204	250	76	41	112	0	0	0	0	36012
0.2055	236	74	41	112	0	0	0	0	36271
0.207	238	76	41	112	0	0	0	0	36519
0.2085	255	80	41	113	0	0	0	0	36767
0.21	270	86	41	113	0	0	0	0	37009
0.2115	275	83	41	113	0	0	0	0	37238
0.213	252	79	41	114	0	0	0	0	37467
0.2145	267	82	41	115	0	0	0	0	37727
0.216	234	71	41	115	0	0	0	0	37959
0.2175	245	77	41	115	0	0	0	0	38228
0.219	246	76	43	116	0	0	0	0	38449
0.2205	255	78	43	116	0	0	0	0	38712
0.222	255	80	44	118	0	0	0	0	38967
0.2235	240	77	44	119	0	0	0	0	39215
0.225	240	73	44	120	0	0	0	0	39470
0.2265	219	68	44	120	0	0	0	0	39718
0.228	222	70	45	123	0	0	0	0	39988
0.2295	229	70	45	123	0	0	0	0	40247
0.231	238	72	45	123	0	0	0	0	40540
0.2325	246	77	45	124	0	0	0	0	40797
0.234	245	75	45	125	0	0	0	0	41052
0.2355	262	82	45	125	0	0	0	0	41307
0.237	274	86	45	125	0	0	0	0	41558
0.2385	255	82	46	125	0	0	0	0	41769
0.24	255	79	46	125	0	0	0	0	42013
0.2415	247	77	46	127	0	0	0	0	42243
0.243	260	81	47	127	0	0	0	0	42470
0.2445	250	75	47	128	0	0	0	0	42699
0.246	227	70	47	128	0	0	0	0	42947
0.2475	237	71	47	128	0	0	0	0	43196
0.249	215	68	48	129	0	0	0	0	43452
0.2505	213	65	49	130	0	0	0	0	43730
0.252	218	66	49	133	0	0	0	0	44003
0.2535	230	74	50	134	0	0	0	0	44261
0.255	232	72	50	135	0	0	0	0	44521
0.2565	227	70	50	135	0	0	0	0	44805
0.258	216	66	50	135	0	0	0	0	45068
0.2595	216	64	51	135	0	0	0	0	45315
0.261	206	65	51	135	0	0	0	0	45550
0.2625	204	64	51	136	0	0	0	0	45830
0.264	225	69	52	137	0	0	0	0	46113
0.2655	214	65	52	137	0	0	0	0	46369
0.267	225	70	53	137	0	0	0	0	46640
0.2685	213	65	53	137	0	0	0	0	46920
0.27	213	66	53	137	0	0	0	0	47203
0.2715	234	71	54	138	0	0	0	0	47492
0.273	227	72	54	139	0	0	0	0	47742
0.2745	229	71	56	140	0	0	0	0	48007
0.276	229	71	56	140	0	0	0	0	48252
0.2775	238	74	56	140	0	0	0	0	48515
0.279	237	72	56	142	0	0	0	0	48779
0.2805	239	74	56	142	0	0	0	0	49048
0.282	235	73	56	144	0	0	0	0	49303
0.2835	237	72	56	145	0	0	0	0	49565
0.285	239	72	57	146	0	0	0	0	49841
0.2865	256	81	57	146	0	0	0	0	50105
0.288	258	81	57	149	0	0	0	0	50373
0.2895	276	87	57	152	0	0	0	0	50610
0.291	267	84	57	152	0	0	0	0	50854
0.2925	247	79	57	152	0	0	0	0	51102
0.294	240	75	57	152	0	0	0	0	51363
0.2955	259	80	57	153	0	0	0	0	51615
0.297	257	81	57	154	0	0	0	0	51842
0.2985	259	80	57	157	0	0	0	0	52096
0.3	260	79	57	157	0	0	0	0	52334
0.3015	255	81	57	157	0	0	0	0	52587
0.303	255	80	57	158	0	0	0	0	52835
0.3045	238	72	57	160	0	0	0	0	53072
0.306	245	78	57	161	0	0	0	0	53338
0.3075	234	72	57	161	0	0	0	0	53592
0.309	248	77	57	161	0	0	0	0	53833
0.3105	225	71	57	162	0	0	0	0	54092
0.312	229	71	57	163	0	0	0	0	54352
0.3135	220	68	57	167	0	0	0	0	54630
0.315	230	71	58	169	0	0	0	0	54910
0.3165	236	70	59	170	0	0	0	0	55168
0.318	223	69	59	172	0	0	0	0	55428
0.3195	248	78	60	173	0	0	0	0	55694
0.321	246	75	61	173	0	0	0	0	55966
0.3225	246	76	61	174	0	0	0	0	56223
0.324	244	76	61	174	0	0	0	0	56494
0.3255	250	79	61	175	0	0	0	0	56724
0.327	267	84	61	176	0	0	0	0	56984
0.3285	280	88	61	176	0	0	0	0	57217
0.33	277	88	62	177	0	0	0	0	57448
0.3315	275	86	62	178	0	0	0	0	57687
0.333	273	84	62	178	0	0	0	0	57906
0.3345	268	83	62	178	0	0	0	0	58150
0.336	260	81	62	180	0	0	0	0	58382
0.3375	250	78	63	182	0	0	0	0	58613
0.339	250	79	64	184	0	0	0	0	58878
0.3405	250	78	65	187	0	0	0	0	59103
0.342	233	72	65	187	0	0	0	0	59339
0.3435	245	73	65	188	0	0	0	0	59592
0.345	249	78	65	188	0	0	0	0	59840
0.3465	275	86	65	190	0	0	0	0	60070
0.348	266	81	65	191	0	0	0	0	60335
0.3495	242	78	65	192	0	0	0	0	60570
0.351	253	78	65	193	0	0	0	0	60823
0.3525	262	81	65	193	0	0	0	0	61071
0.354	275	85	65	194	0	0	0	0	61335
0.3555	279	86	66	194	0	0	0	0	61574
0.357	270	86	66	194	0	0	0	0	61799
0.3585	272	87	67	195	0	0	0	0	62039
0.36	282	88	67	195	0	0	0	0	62297
0.3615	284	91	67	195	0	0	0	0	62552
0.363	289	92	68	197	0	0	0	0	62793
0.3645	262	84	68	197	0	0	0	0	63006
0.366	257	80	68	197	0	0	0	0	63248
0.3675	273	86	68	199	0	0	0	0	63474
0.369	277	86	68	199	0	0	0	0	63732
0.3705	270	84	68	200	0	0	0	0	63972
0.372	261	82	68	200	0	0	0	0	64202
0.3735	245	75	68	200	0	0	0	0	64449
0.375	221	68	68	201	0	0	0	0	64682
0.3765	233	73	68	201	0	0	0	0	64935
0.378	212	62	68	201	0	0	0	0	65198
0.3795	235	73	68	202	0	0	0	0	65479
0.381	236	74	68	202	0	0	0	0	65754
0.3825	242	75	68	203	0	0	0	0	66017
0.384	253	80	68	204	0	0	0	0	66256
0.3855	251	79	69	204	0	0	0	0	66494
0.387	238	74	69	204	0	0	0	0	66756
0.3885	238	75	69	204	0	0	0	0	67003
0.39	243	74	69	204	0	0	0	0	67274
0.3915	239	73	69	205	0	0	0	0	67510
0.393	227	72	69	205	0	0	0	0	67744
0.3945	247	75	69	207	0	0	0	0	68001
0.396	245	77	69	209	0	0	0	0	68261
0.3975	254	77	70	210	0	0	0	0	68510
0.399	238	74	71	210	0	0	0	0	68757
0.4005	245	76	73	210	0	0	0	0	68999
0.402	208	66	74	210	0	0	0	0	69268
0.4035	234	71	75	211	0	0	0	0	69538
0.405	218	68	76	211	0	0	0	0	69813
0.4065	239	72	76	212	0	0	0	0	70090
0.408	219	68	76	214	0	0	0	0	70345
0.4095	219	67	76	214	0	0	0	0	70605
0.411	226	68	76	214	0	0	0	0	70856
0.4125	235	72	76	214	0	0	0	0	71099
0.414	248	77	76	215	0	0	0	0	71355
0.4155	237	73	77	215	0	0	0	0	71601
0.417	251	78	77	215	0	0	0	0	71868
0.4185	242	74	78	215	0	0	0	0	72125
0.42	241	75	78	215	0	0	0	0	72348
0.4215	238	73	78	215	0	0	0	0	72610
0.423	224	69	78	215	0	0	0	0	72859
0.4245	205	65	78	217	0	0	0	0	73110
0.426	221	70	79	217	0	0	0	0	73379
0.4275	240	77	79	217	0	0	0	0	73609
0.429	238	72	79	217	0	0	0	0	73867
0.4305	249	77	80	217	0	0	0	0	74124
0.432	255	79	80	218	0	0	0	0	74402
0.4335	238	75	80	218	0	0	0	0	74651
0.435	249	77	80	218	0	0	0	0	74911
0.4365	240	75	80	218	0	0	0	0	75151
0.438	235	72	80	218	0	0	0	0	75360
0.4395	231	73	80	218	0	0	0	0	75600
0.441	231	70	80	220	0	0	0	0	75864
0.4425	235	73	80	221	0	0	0	0	76119
0.444	244	76	81	222	0	0	0	0	76361
0.4455	234	72	82	222	0	0	0	0	76626
0.447	211	65	82	223	0	0	0	0	76892
0.4485	209	63	83	224	0	0	0	0	77129
0.45	210	63	83	225	0	0	0	0	77428
0.4515	215	65	83	226	0	0	0	0	77698
0.453	200	60	83	228	0	0	0	0	77964
0.4545	208	64	83	229	0	0	0	0	78237
0.456	229	71	83	229	0	0	0	0	78503
0.4575	252	79	83	231	0	0	0	0	78784
0.459	244	78	84	231	0	0	0	0	79026
0.4605	246	77	84	232	0	0	0	0	79284
0.462	235	73	84	233	0	0	0	0	79533
0.4635	228	71	84	233	0	0	0	0	79785
0.465	233	74	85	233	0	0	0	0	80037
0.4665	250	79	86	235	0	0	0	0	80288
0.468	254	81	87	235	0	0	0	0	80544
0.4695	263	83	88	236	0	0	0	0	80790
0.471	269	82	88	236	0	0	0	0	81057
0.4725	272	84	89	236	0	0	0	0	81274
0.474	268	83	89	236	0	0	0	0	81526
0.4755	271	85	89	237	0	0	0	0	81763
0.477	267	83	89	238	0	0	0	0	82000
0.4785	273	85	89	239	0	0	0	0	82244
0.48	273	87	89	240	0	0	0	0	82476
0.4815	270	85	89	241	0	0	0	0	82685
0.483	273	84	89	241	0	0	0	0	82932
0.4845	272	86	89	242	0	0	0	0	83170
0.486	257	81	89	242	0	0	0	0	83396
0.4875	266	84	90	243	0	0	0	0	83667
0.489	280	85	91	243	0	0	0	0	83925
0.4905	256	80	92	243	0	0	0	0	84142
0.492	265	84	92	245	0	0	0	0	84365
0.4935	247	79	92	245	0	0	0	0	84575
0.495	264	80	92	246	0	0	0	0	84823
0.4965	272	83	93	248	0	0	0	0	85083
0.498	261	82	93	248	0	0	0	0	85311
0.4995	242	75	94	250	0	0	0	0	85546
0.501	225	71	94	251	0	0	0	0	85787
0.5025	224	71	94	252	0	0	0	0	86059
0.504	230	69	95	253	0	0	0	0	86337
0.5055	231	71	95	253	0	0	0	0	86599
0.507	229	70	95	254	0	0	0	0	86860
0.5085	232	74	95	254	0	0	0	0	87107
0.51	244	75	95	255	0	0	0	0	87348
0.5115	245	75	95	255	0	0	0	0	87592
0.513	243	74	96	256	0	0	0	0	87844
0.5145	246	78	98	258	0	0	0	0	88101
0.516	239	75	98	260	0	0	0	0	88340
0.5175	231	72	99	260	0	0	0	0	88604
0.519	234	73	100	262	0	0	0	0	88868
0.5205	231	72	100	262	0	0	0	0	89139
0.522	222	69	100	262	0	0	0	0	89376
0.5235	223	66	100	263	0	0	0	0	89644
0.525	245	75	100	263	0	0	0	0	89914
0.5265	243	76	100	264	0	0	0	0	90176
0.528	236	72	101	264	0	0	0	0	90448
0.5295	228	71	101	265	0	0	0	0	90703
0.531	234	72	101	265	0	0	0	0	90946
0.5325	239	73	103	265	0	0	0	0	91209
0.534	241	77	103	266	0	0	0	0	91498
0.5355	210	65	103	267	0	0	0	0	91748
0.537	224	68	103	267	0	0	0	0	92025
0.5385	226	70	103	268	0	0	0	0	92258
0.54	236	75	103	270	0	0	0	0	92514
0.5415	232	71	103	271	0	0	0	0	92771
0.543	236	72	103	271	0	0	0	0	93050
0.5445	217	69	103	272	0	0	0	0	93281
0.546	233	72	103	272	0	0	0	0	93540
0.5475	245	75	103	272	0	0	0	0	93816
0.549	242	76	103	273	0	0	0	0	94049
0.5505	237	72	103	274	0	0	0	0	94339
