Time (s),A(c),A(q),A(c!1).A(q!1)
0,1000,1000,0
0.0015,931,931,69
0.003,874,874,126
0.0045,851,851,149
0.006,836,836,164
0.0075,826,826,174
0.009,805,805,195
0.0105,802,802,198
0.012,804,804,196
0.0135,784,784,216
0.015,790,790,210
0.0165,786,786,214
0.018,803,803,197
0.0195,794,794,206
0.021,769,769,231
0.0225,762,762,238
0.024,763,763,237
0.0255,779,779,221
0.027,781,781,219
0.0285,774,774,226
0.03,783,783,217
0.0315,804,804,196
0.033,779,779,221
0.0345,786,786,214
0.036,787,787,213
0.0375,785,785,215
0.039,756,756,244
0.0405,793,793,207
0.042,793,793,207
0.0435,786,786,214
0.045,763,763,237
0.0465,758,758,242
0.048,773,773,227
0.0495,782,782,218
0.051,784,784,216
0.0525,775,775,225
0.054,769,769,231
0.0555,771,771,229
0.057,754,754,246
0.0585,736,736,264
0.06,729,729,271
0.0615,736,736,264
0.063,748,748,252
0.0645,741,741,259
0.066,736,736,264
0.0675,762,762,238
0.069,759,759,241
0.0705,757,757,243
0.072,749,749,251
0.0735,756,756,244
0.075,775,775,225
0.0765,762,762,238
0.078,762,762,238
0.0795,738,738,262
0.081,761,761,239
0.0825,772,772,228
0.084,778,778,222
0.0855,775,775,225
0.087,786,786,214
0.0885,778,778,222
0.09,763,763,237
0.0915,782,782,218
0.093,770,770,230
0.0945,777,777,223
0.096,789,789,211
0.0975,781,781,219
0.099,770,770,230
0.1005,761,761,239
0.102,743,743,257
0.1035,742,742,258
0.105,756,756,244
0.1065,771,771,229
0.108,770,770,230
0.1095,763,763,237
0.111,771,771,229
0.1125,748,748,252
0.114,753,753,247
0.1155,776,776,224
0.117,736,736,264
0.1185,746,746,254
0.12,765,765,235
0.1215,774,774,226
0.123,787,787,213
0.1245,761,761,239
0.126,770,770,230
0.1275,755,755,245
0.129,769,769,231
0.1305,785,785,215
0.132,759,759,241
0.1335,767,767,233
0.135,784,784,216
0.1365,777,777,223
0.138,769,769,231
0.1395,747,747,253
0.141,750,750,250
0.1425,753,753,247
0.144,762,762,238
0.1455,763,763,237
0.147,780,780,220
0.1485,779,779,221
0.15,784,784,216
0.1515,796,796,204
0.153,775,775,225
0.1545,773,773,227
0.156,771,771,229
0.1575,775,775,225
0.159,788,788,212
0.1605,769,769,231
0.162,783,783,217
0.1635,796,796,204
0.165,807,807,193
0.1665,804,804,196
0.168,786,786,214
0.1695,785,785,215
0.171,802,802,198
0.1725,772,772,228
0.174,775,775,225
0.1755,768,768,232
0.177,759,759,241
0.1785,774,774,226
0.18,773,773,227
0.1815,761,761,239
0.183,750,750,250
0.1845,780,780,220
0.186,785,785,215
0.1875,797,797,203
0.189,785,785,215
0.1905,789,789,211
0.192,767,767,233
0.1935,780,780,220
0.195,785,785,215
0.1965,763,763,237
0.198,748,748,252
0.1995,736,736,264
0.201,741,741,259
0.2025,758,758,242
0.204,750,750,250
0.2055,764,764,236
0.207,762,762,238
0.2085,745,745,255
0.21,730,730,270
0.2115,725,725,275
0.213,748,748,252
0.2145,733,733,267
0.216,766,766,234
0.2175,755,755,245
0.219,754,754,246
0.2205,745,745,255
0.222,745,745,255
0.2235,760,760,240
0.225,760,760,240
0.2265,781,781,219
0.228,778,778,222
0.2295,771,771,229
0.231,762,762,238
0.2325,754,754,246
0.234,755,755,245
0.2355,738,738,262
0.237,726,726,274
0.2385,745,745,255
0.24,745,745,255
0.2415,753,753,247
0.243,740,740,260
0.2445,750,750,250
0.246,773,773,227
0.2475,763,763,237
0.249,785,785,215
0.2505,787,787,213
0.252,782,782,218
