Time (s): 0
1000	A: 1. 
Time (s): 0.0015
910	A: 1. 
21	A: 2. 
16	A: 3. 
Time (s): 0.003
850	A: 1. 
24	A: 2. 
34	A: 3. 
Time (s): 0.0045
837	A: 1. 
14	A: 2. 
45	A: 3. 
Time (s): 0.006
819	A: 1. 
49	A: 3. 
17	A: 2. 
Time (s): 0.0075
808	A: 1. 
18	A: 2. 
52	A: 3. 
Time (s): 0.009
778	A: 1. 
56	A: 3. 
27	A: 2. 
Time (s): 0.0105
790	A: 1. 
12	A: 2. 
62	A: 3. 
Time (s): 0.012
794	A: 1. 
10	A: 2. 
62	A: 3. 
Time (s): 0.0135
761	A: 1. 
65	A: 3. 
22	A: 2. 
Time (s): 0.015
778	A: 1. 
66	A: 3. 
12	A: 2. 
Time (s): 0.0165
765	A: 1. 
65	A: 3. 
20	A: 2. 
Time (s): 0.018
792	A: 1. 
62	A: 3. 
11	A: 2. 
Time (s): 0.0195
781	A: 1. 
65	A: 3. 
12	A: 2. 
Time (s): 0.021
751	A: 1. 
71	A: 3. 
18	A: 2. 
Time (s): 0.0225
16	A: 2. 
746	A: 1. 
74	A: 3. 
Time (s): 0.024
742	A: 1. 
72	A: 3. 
21	A: 2. 
Time (s): 0.0255
762	A: 1. 
68	A: 3. 
17	A: 2. 
Time (s): 0.027
762	A: 1. 
68	A: 3. 
17	A: 2. 
Time (s): 0.0285
755	A: 1. 
69	A: 3. 
19	A: 2. 
Time (s): 0.03
764	A: 1. 
66	A: 3. 
19	A: 2. 
Time (s): 0.0315
791	A: 1. 
61	A: 3. 
13	A: 2. 
Time (s): 0.033
763	A: 1. 
69	A: 3. 
15	A: 2. 
Time (s): 0.0345
773	A: 1. 
67	A: 3. 
13	A: 2. 
Time (s): 0.036
775	A: 1. 
67	A: 3. 
12	A: 2. 
Time (s): 0.0375
771	A: 1. 
67	A: 3. 
14	A: 2. 
Time (s): 0.039
738	A: 1. 
76	A: 3. 
17	A: 2. 
Time (s): 0.0405
781	A: 1. 
65	A: 3. 
12	A: 2. 
Time (s): 0.042
779	A: 1. 
65	A: 3. 
13	A: 2. 
Time (s): 0.0435
773	A: 1. 
67	A: 3. 
13	A: 2. 
Time (s): 0.045
745	A: 1. 
73	A: 3. 
18	A: 2. 
Time (s): 0.0465
738	A: 1. 
74	A: 3. 
20	A: 2. 
Time (s): 0.048
759	A: 1. 
71	A: 3. 
14	A: 2. 
Time (s): 0.0495
768	A: 1. 
14	A: 2. 
68	A: 3. 
Time (s): 0.051
769	A: 1. 
15	A: 2. 
67	A: 3. 
Time (s): 0.0525
763	A: 1. 
71	A: 3. 
12	A: 2. 
Time (s): 0.054
745	A: 1. 
69	A: 3. 
24	A: 2. 
Time (s): 0.0555
755	A: 1. 
71	A: 3. 
16	A: 2. 
Time (s): 0.057
735	A: 1. 
77	A: 3. 
17	A: 2. 
Time (s): 0.0585
724	A: 1. 
84	A: 3. 
12	A: 2. 
Time (s): 0.06
713	A: 1. 
85	A: 3. 
16	A: 2. 
Time (s): 0.0615
713	A: 1. 
81	A: 3. 
22	A: 2. 
Time (s): 0.063
733	A: 1. 
79	A: 3. 
15	A: 2. 
Time (s): 0.0645
725	A: 1. 
81	A: 3. 
16	A: 2. 
Time (s): 0.066
721	A: 1. 
83	A: 3. 
15	A: 2. 
Time (s): 0.0675
752	A: 1. 
76	A: 3. 
10	A: 2. 
Time (s): 0.069
14	A: 2. 
744	A: 1. 
76	A: 3. 
Time (s): 0.0705
745	A: 1. 
77	A: 3. 
12	A: 2. 
Time (s): 0.072
726	A: 1. 
76	A: 3. 
23	A: 2. 
Time (s): 0.0735
728	A: 1. 
72	A: 3. 
28	A: 2. 
Time (s): 0.075
763	A: 1. 
71	A: 3. 
12	A: 2. 
Time (s): 0.0765
746	A: 1. 
74	A: 3. 
16	A: 2. 
Time (s): 0.078
749	A: 1. 
75	A: 3. 
13	A: 2. 
Time (s): 0.0795
719	A: 1. 
81	A: 3. 
19	A: 2. 
Time (s): 0.081
745	A: 1. 
75	A: 3. 
15	A: 2. 
Time (s): 0.0825
764	A: 1. 
74	A: 3. 
7	A: 2. 
Time (s): 0.084
769	A: 1. 
71	A: 3. 
9	A: 2. 
Time (s): 0.0855
755	A: 1. 
19	A: 2. 
69	A: 3. 
Time (s): 0.087
771	A: 1. 
67	A: 3. 
14	A: 2. 
Time (s): 0.0885
763	A: 1. 
69	A: 3. 
15	A: 2. 
Time (s): 0.09
739	A: 1. 
24	A: 2. 
71	A: 3. 
Time (s): 0.0915
766	A: 1. 
68	A: 3. 
15	A: 2. 
Time (s): 0.093
750	A: 1. 
70	A: 3. 
20	A: 2. 
Time (s): 0.0945
758	A: 1. 
19	A: 2. 
68	A: 3. 
Time (s): 0.096
773	A: 1. 
16	A: 2. 
65	A: 3. 
Time (s): 0.0975
766	A: 1. 
68	A: 3. 
15	A: 2. 
Time (s): 0.099
750	A: 1. 
70	A: 3. 
20	A: 2. 
Time (s): 0.1005
748	A: 1. 
12	A: 2. 
76	A: 3. 
Time (s): 0.102
730	A: 1. 
82	A: 3. 
12	A: 2. 
Time (s): 0.1035
730	A: 1. 
82	A: 3. 
12	A: 2. 
Time (s): 0.105
743	A: 1. 
77	A: 3. 
13	A: 2. 
Time (s): 0.1065
755	A: 1. 
71	A: 3. 
16	A: 2. 
Time (s): 0.108
753	A: 1. 
71	A: 3. 
17	A: 2. 
Time (s): 0.1095
749	A: 1. 
75	A: 3. 
13	A: 2. 
Time (s): 0.111
756	A: 1. 
72	A: 3. 
14	A: 2. 
Time (s): 0.1125
731	A: 1. 
79	A: 3. 
16	A: 2. 
Time (s): 0.114
734	A: 1. 
76	A: 3. 
19	A: 2. 
Time (s): 0.1155
764	A: 1. 
72	A: 3. 
10	A: 2. 
Time (s): 0.117
715	A: 1. 
81	A: 3. 
21	A: 2. 
Time (s): 0.1185
729	A: 1. 
79	A: 3. 
17	A: 2. 
Time (s): 0.12
752	A: 1. 
74	A: 3. 
13	A: 2. 
Time (s): 0.1215
761	A: 1. 
13	A: 2. 
71	A: 3. 
Time (s): 0.123
775	A: 1. 
67	A: 3. 
12	A: 2. 
Time (s): 0.1245
740	A: 1. 
74	A: 3. 
19	A: 2. 
Time (s): 0.126
759	A: 1. 
73	A: 3. 
11	A: 2. 
Time (s): 0.1275
738	A: 1. 
17	A: 2. 
76	A: 3. 
Time (s): 0.129
754	A: 1. 
72	A: 3. 
15	A: 2. 
Time (s): 0.1305
771	A: 1. 
67	A: 3. 
14	A: 2. 
Time (s): 0.132
737	A: 1. 
22	A: 2. 
73	A: 3. 
Time (s): 0.1335
748	A: 1. 
72	A: 3. 
18	A: 2. 
Time (s): 0.135
772	A: 1. 
68	A: 3. 
12	A: 2. 
Time (s): 0.1365
764	A: 1. 
70	A: 3. 
13	A: 2. 
Time (s): 0.138
19	A: 2. 
749	A: 1. 
71	A: 3. 
Time (s): 0.1395
731	A: 1. 
79	A: 3. 
16	A: 2. 
Time (s): 0.141
730	A: 1. 
78	A: 3. 
18	A: 2. 
Time (s): 0.1425
737	A: 1. 
77	A: 3. 
16	A: 2. 
Time (s): 0.144
743	A: 1. 
73	A: 3. 
19	A: 2. 
Time (s): 0.1455
740	A: 1. 
72	A: 3. 
22	A: 2. 
Time (s): 0.147
764	A: 1. 
68	A: 3. 
16	A: 2. 
Time (s): 0.1485
753	A: 1. 
65	A: 3. 
26	A: 2. 
Time (s): 0.15
766	A: 1. 
66	A: 3. 
18	A: 2. 
Time (s): 0.1515
19	A: 2. 
776	A: 1. 
62	A: 3. 
Time (s): 0.153
752	A: 1. 
68	A: 3. 
22	A: 2. 
Time (s): 0.1545
760	A: 1. 
72	A: 3. 
12	A: 2. 
Time (s): 0.156
755	A: 1. 
71	A: 3. 
16	A: 2. 
Time (s): 0.1575
760	A: 1. 
15	A: 2. 
70	A: 3. 
Time (s): 0.159
777	A: 1. 
67	A: 3. 
11	A: 2. 
Time (s): 0.1605
