TIME (s) 	MONO:A	DIMERS W:A	
0	1000	0	
0.0015	910	21	
0.003	850	24	
0.0045	837	14	
0.006	819	17	
0.0075	808	18	
0.009	778	27	
0.0105	790	12	
0.012	794	10	
0.0135	761	22	
0.015	778	12	
0.0165	765	20	
0.018	792	11	
0.0195	781	12	
0.021	751	18	
0.0225	746	16	
0.024	742	21	
0.0255	762	17	
0.027	762	17	
0.0285	755	19	
0.03	764	19	
0.0315	791	13	
0.033	763	15	
0.0345	773	13	
0.036	775	12	
0.0375	771	14	
0.039	738	17	
0.0405	781	12	
0.042	779	13	
0.0435	773	13	
0.045	745	18	
0.0465	738	20	
0.048	759	14	
0.0495	768	14	
0.051	769	15	
0.0525	763	12	
0.054	745	24	
0.0555	755	16	
0.057	735	17	
0.0585	724	12	
0.06	713	16	
0.0615	713	22	
0.063	733	15	
0.0645	725	16	
0.066	721	15	
0.0675	752	10	
0.069	744	14	
0.0705	745	12	
0.072	726	23	
0.0735	728	28	
0.075	763	12	
0.0765	746	16	
0.078	749	13	
0.0795	719	19	
0.081	745	15	
0.0825	764	7	
0.084	769	9	
0.0855	755	19	
0.087	771	14	
0.0885	763	15	
0.09	739	24	
0.0915	766	15	
0.093	750	20	
0.0945	758	19	
0.096	773	16	
0.0975	766	15	
0.099	750	20	
0.1005	748	12	
0.102	730	12	
0.1035	730	12	
0.105	743	13	
0.1065	755	16	
0.108	753	17	
0.1095	749	13	
0.111	756	14	
0.1125	731	16	
0.114	734	19	
0.1155	764	10	
0.117	715	21	
0.1185	729	17	
0.12	752	13	
0.1215	761	13	
0.123	775	12	
0.1245	740	19	
0.126	759	11	
0.1275	738	17	
0.129	754	15	
0.1305	771	14	
0.132	737	22	
0.1335	748	18	
0.135	772	12	
0.1365	764	13	
0.138	749	19	
0.1395	731	16	
0.141	730	18	
0.1425	737	16	
0.144	743	19	
0.1455	740	22	
0.147	764	16	
0.1485	753	26	
0.15	766	18	
0.1515	776	19	
0.153	752	22	
0.1545	760	12	
0.156	755	16	
0.1575	760	15	
0.159	777	11	
0.1605	751	18	
0.162	767	16	
0.1635	781	15	
0.165	791	16	
0.1665	788	16	
0.168	770	16	
0.1695	765	20	
0.171	787	15	
0.1725	740	31	
0.174	760	15	
0.1755	752	16	
0.177	746	13	
0.1785	767	7	
0.18	757	15	
0.1815	744	17	
0.183	734	16	
0.1845	771	8	
0.186	769	15	
0.1875	782	13	
0.189	765	20	
0.1905	771	17	
0.192	750	17	
0.1935	758	22	
0.195	771	14	
0.1965	745	18	
0.198	730	18	
0.1995	721	15	
0.201	723	17	
0.2025	744	14	
0.204	729	20	
0.2055	750	14	
0.207	752	10	
0.2085	730	15	
0.21	718	12	
0.2115	701	22	
0.213	735	11	
0.2145	712	21	
0.216	745	21	
0.2175	742	12	
0.219	736	18	
0.2205	724	21	
0.222	730	15	
0.2235	751	9	
0.225	740	19	
0.2265	766	15	
0.228	766	12	
0.2295	753	17	
0.231	740	22	
0.2325	739	15	
0.234	736	18	
