TIME(s)	'A,B'	'A,C'	'B,C'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0	0	0
0.0003	2	4	2	0	0	1	0	0	0	0	8
0.0006	3	4	4	0	0	1	0	0	0	0	14
0.0009	5	6	4	1	0	1	0	0	0	0	23
0.0012	7	6	5	2	0	1	0	0	0	0	29
0.0015	7	8	8	2	0	1	0	0	0	0	36
0.0018	8	11	9	3	0	1	0	0	0	0	44
0.0021	10	8	9	3	0	1	0	0	0	0	49
0.0024	9	9	9	4	0	1	0	0	0	0	53
0.0027	9	9	11	4	0	1	0	0	0	0	60
0.003	12	14	13	7	0	1	0	0	0	0	69
0.0033	14	12	14	8	0	1	0	0	0	0	75
0.0036	15	16	16	8	0	1	0	0	0	0	86
0.0039	16	16	16	8	0	1	0	0	0	0	89
0.0042	18	16	13	8	0	1	0	0	0	0	96
0.0045	16	16	12	9	0	1	0	0	0	0	102
0.0048	15	15	13	9	0	1	0	0	0	0	107
0.0051	18	17	13	10	0	1	0	0	0	0	114
0.0054	20	19	15	12	0	1	0	0	0	0	119
0.0057	20	20	17	13	0	1	0	0	0	0	124
0.006	19	23	15	13	0	1	0	0	0	0	127
0.0063	20	21	17	14	0	2	0	0	0	0	132
0.0066	22	20	16	14	0	2	0	0	0	0	139
