Time (s),A(a1),A(a2),B(b1),B(b2),C(c1),C(c2),A(a1!1).B(b2!1),A(a2!1).C(c1!1),C(c2!1).B(b1!1)
0,100,100,100,100,100,100,0,0,0
0.0003,98,96,98,98,96,98,2,4,2
0.0006,97,96,96,97,96,96,3,4,4
0.0009,95,94,96,95,94,96,5,6,4
0.0012,93,94,95,93,94,95,7,6,5
0.0015,93,92,92,93,92,92,7,8,8
0.0018,92,89,91,92,89,91,8,11,9
0.0021,90,92,91,90,92,91,10,8,9
0.0024,91,91,91,91,91,91,9,9,9
0.0027,91,91,89,91,91,89,9,9,11
0.003,88,86,87,88,86,87,12,14,13
0.0033,86,88,86,86,88,86,14,12,14
0.0036,85,84,84,85,84,84,15,16,16
0.0039,84,84,84,84,84,84,16,16,16
0.0042,82,84,87,82,84,87,18,16,13
0.0045,84,84,88,84,84,88,16,16,12
0.0048,85,85,87,85,85,87,15,15,13
0.0051,82,83,87,82,83,87,18,17,13
0.0054,80,81,85,80,81,85,20,19,15
0.0057,80,80,83,80,80,83,20,20,17
0.006,81,77,85,81,77,85,19,23,15
0.0063,80,79,83,80,79,83,20,21,17
0.0066,78,80,84,78,80,84,22,20,16
