TIME (s) 	MONO:A	DIMERS W:A	MONO:B	DIMERS W:B	MONO:C	DIMERS W:C	
0	100	0	100	0	100	0	
0.0003	94	6	96	4	94	6	
0.0006	93	7	93	7	92	8	
0.0009	91	7	92	6	91	7	
0.0012	89	9	90	8	91	7	
0.0015	87	11	87	11	86	12	
0.0018	84	13	86	11	83	14	
0.0021	85	12	84	13	86	11	
0.0024	86	10	86	10	86	10	
0.0027	86	10	84	12	84	12	
0.003	81	12	82	11	80	13	
0.0033	82	10	80	12	82	10	
0.0036	77	15	77	15	76	16	
0.0039	76	16	76	16	76	16	
0.0042	74	18	77	15	79	13	
0.0045	77	14	81	10	81	10	
0.0048	79	12	81	10	81	10	
0.0051	75	15	79	11	80	10	
0.0054	73	15	77	11	78	10	
0.0057	73	14	76	11	76	11	
0.006	71	16	79	8	75	12	
0.0063	73	13	77	9	76	10	
0.0066	72	14	76	10	78	8	
